<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.11	08:00:00	2922.88	2929.43	2921.05	2922.05	3842	0	25
2025.02.11	08:30:00	2922.05	2923.38	2915.32	2917.76	4090	0	25
2025.02.11	09:00:00	2917.81	2918.34	2910.70	2911.02	4014	0	25
2025.02.11	09:30:00	2911.02	2913.40	2907.18	2913.32	4298	0	25
2025.02.11	10:00:00	2913.14	2915.24	2909.05	2914.09	3607	0	25
2025.02.11	10:30:00	2914.09	2914.39	2906.92	2907.34	3400	0	25
2025.02.11	11:00:00	2907.20	2912.30	2904.87	2909.92	4325	0	25
2025.02.11	11:30:00	2909.74	2909.82	2902.95	2903.10	4093	0	25
2025.02.11	12:00:00	2903.11	2907.00	2901.84	2905.31	3599	0	25
2025.02.11	12:30:00	2905.31	2907.01	2901.89	2902.61	3695	0	25
2025.02.11	13:00:00	2902.58	2906.34	2902.17	2904.89	3058	0	25
2025.02.11	13:30:00	2904.94	2906.61	2902.81	2903.83	3745	0	25
2025.02.11	14:00:00	2903.83	2904.19	2898.19	2899.50	4835	0	25
2025.02.11	14:30:00	2899.68	2901.60	2886.81	2889.31	5276	0	25
2025.02.11	15:00:00	2889.05	2890.55	2881.58	2889.71	6808	0	25
2025.02.11	15:30:00	2889.90	2898.18	2887.97	2896.48	6155	0	25
2025.02.11	16:00:00	2896.48	2902.18	2894.99	2900.80	6003	0	25
2025.02.11	16:30:00	2900.63	2904.32	2895.86	2896.70	6181	0	25
2025.02.11	17:00:00	2896.70	2901.93	2890.78	2898.09	5741	0	25
2025.02.11	17:30:00	2898.04	2906.50	2896.79	2904.68	5126	0	25
2025.02.11	18:00:00	2904.60	2908.58	2903.21	2906.81	4721	0	25
2025.02.11	18:30:00	2906.83	2906.96	2902.23	2902.32	4197	0	25
2025.02.11	19:00:00	2902.30	2905.35	2899.65	2905.35	3903	0	25
2025.02.11	19:30:00	2905.35	2907.32	2904.72	2905.54	3454	0	25
2025.02.11	20:00:00	2905.54	2907.19	2903.24	2904.41	3826	0	25
2025.02.11	20:30:00	2904.43	2906.48	2904.27	2905.89	2638	0	25
